Altium Designer Pick and Place Locations
C:\Perso\ADSTech\Bridge discharger\Bridge load\Project Outputs for Bridge load\Pick Place for Bridge Load V2.csv

========================================================================================================================
File Design Information:

Date:       18/11/25
Time:       12:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R14","R-0402-499.0-1%-100ppm-0.5","TopLayer","RES-0402-IPC_B","-83.662","625.000","180","0402 499.0 O 1% 100ppm 0.063W Resistor"
"D12","Status","TopLayer","DIAL-0603-2_V","-83.661","669.291","0","Red 633nm 0603 LED"
"R2","R-0402-5110.0-1%-100ppm-0.5","TopLayer","RES-0402-IPC_B","1200.787","221.457","90","0402 5110.0 O 1% 100ppm 0.063W Resistor"
"R13","R-0402-5110.0-1%-100ppm-0.5","TopLayer","RES-0402-IPC_B","1240.158","221.457","90","0402 5110.0 O 1% 100ppm 0.063W Resistor"
"TP9","SMT-PAD-3x2","TopLayer","3x2_pad","885.827","98.425","270","3x2mm standard pad for wire soldering"
"TP8","SMT-PAD-3x2","TopLayer","3x2_pad","767.716","98.425","270","3x2mm standard pad for wire soldering"
"TP7","SMT-PAD-3x2","TopLayer","3x2_pad","403.543","925.197","0","3x2mm standard pad for wire soldering"
"TP6","SMT-PAD-3x2","TopLayer","3x2_pad","226.378","925.197","180","3x2mm standard pad for wire soldering"
"TP5","SMT-PAD-3x2","TopLayer","3x2_pad","403.543","826.772","0","3x2mm standard pad for wire soldering"
"TP4","SMT-PAD-3x2","TopLayer","3x2_pad","226.378","826.772","180","3x2mm standard pad for wire soldering"
"R26","R-0402-90900.0-1%-100ppm-0.5","TopLayer","RES-0402-IPC_B","664.370","437.992","0","0402 90900.0 O 1% 100ppm 0.063W Resistor"
"R25","R-0402-10000.0-1%-100ppm-0.5","TopLayer","RES-0402-IPC_B","664.370","472.441","180","0402 10000.0 O 1% 100ppm 0.063W Resistor"
"D11","D-SCH-VSSAF5N50-DO-221AD-2-5A-50V","TopLayer","FP-S8-V-3915_01-001-CATHO-MFG","905.512","305.118","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 5A, 50V V(RRM), Silicon, DO-221AC"
"D10","D-SCH-VSSAF5N50-DO-221AD-2-5A-50V","TopLayer","FP-S8-V-3915_01-001-CATHO-MFG","767.716","305.118","270","Rectifier Diode, Schottky, 1 Phase, 1 Element, 5A, 50V V(RRM), Silicon, DO-221AC"
"D9","ESD-0603ESDA-MLP1","BottomLayer","CAP-0603-IPC_B","470.473","196.850","180","Suppressor Esd 0.05PF 0603 SMD"
"D8","ESD-0603ESDA-MLP1","BottomLayer","CAP-0603-IPC_B","320.866","196.850","0","Suppressor Esd 0.05PF 0603 SMD"
"D7","ESD-0603ESDA-MLP1","TopLayer","CAP-0603-IPC_B","118.110","875.984","270","Suppressor Esd 0.05PF 0603 SMD"
"C25","C-0402-CER-X7R-100nF-10%-50V","TopLayer","CAP_0402-IPC_B","664.370","506.890","180","Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 10%, X7R, 0402 [1005 Metric]"
"F1","FUSE-HOLDER-Nanofuse","TopLayer","FP-0155-MFG","-575.787","246.063","90","Fuses/Accessories"
"Y1","C9002","TopLayer","FP-ABM8-MFG","364.173","488.189","180","Crystal 12MHz ±20ppm (Tol) ±50ppm (Stability) 18pF FUND 120Ohm 4-Pin Ultra Mini-CSMD T/R"
"U4","W25Q16JVZPIQ","TopLayer","FP-ZP-IPC_B","-246.063","305.118","90","IC FLASH 16MBIT SPI/QUAD 8WSON"
"U3","IC-MCU-RP2040","TopLayer","QFN40P700X700X90_HS-57N","68.898","275.591","90","264KB 30 133MHZ LQFN-56(7X7) Microcontrollers (mcu/mpu/soc) Rohs"
"U1","IC-DCDC-POS-LMR51410","TopLayer","ETA-SOT23-6_N","1023.622","551.181","0","SIMPLE SWITCHER® 4V to 42V, 1A synchronous buck converter with 26.5uA IQ 6-SOT-23 -40 to 150"
"SW1","BOOTSEL","TopLayer","FP-B3U-1000P-MFG","-255.905","78.740","0","Keypad Switch, 1 Switches, SPST, Momentary-tactile, 0.05A, 12VDC, 1.99N, Solder Terminal, Surface Mount-straight"
"R24","R-0402-10000.0-1%-100ppm-0.5","BottomLayer","RES-0402-IPC_B","413.386","265.748","90","0402 10000.0 O 1% 100ppm 0.063W Resistor"
"R23","R-0402-13000.0-1%-100ppm-0.5","BottomLayer","RES-0402-IPC_B","452.756","265.748","270","0402 13000.0 O 1% 100ppm 0.063W Resistor"
"R22","R-0402-121.0-1%-100ppm-0.5","BottomLayer","RES-0402-IPC_B","334.646","265.748","270","0402 121.0 O 1% 100ppm 0.063W Resistor"
